epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7704.91,0.94448,0.61599,1.21462,0.87516,0.84431,0.86877,0.56284,1.16383,0.54923,1.44282,0.000803876,0.000803876,0.000803876
43,7900.07,0.94743,0.61484,1.20761,0.89459,0.86197,0.90131,0.59524,1.01457,0.55035,1.34322,0.000785127,0.000785127,0.000785127
44,8109.29,0.93765,0.59586,1.20541,0.88981,0.83728,0.8586,0.552,1.01403,0.5148,1.33901,0.000766226,0.000766226,0.000766226
45,8309.67,0.93116,0.61064,1.20594,0.86518,0.89742,0.88394,0.56773,1.08065,0.54101,1.38399,0.000747192,0.000747192,0.000747192
46,8521.39,0.92538,0.61113,1.21401,0.88524,0.84401,0.88347,0.56918,1.06274,0.53864,1.37541,0.000728044,0.000728044,0.000728044
47,8733.62,0.91542,0.58874,1.1844,0.89129,0.83715,0.89077,0.57792,1.01488,0.51918,1.34528,0.0007088,0.0007088,0.0007088
48,8929.23,0.91758,0.58942,1.20378,0.86691,0.86809,0.90711,0.59203,1.06182,0.49601,1.36447,0.00068948,0.00068948,0.00068948
49,9142.05,0.92061,0.57253,1.18607,0.86329,0.89372,0.89905,0.57272,1.09535,0.5233,1.39825,0.000670102,0.000670102,0.000670102
50,9322.37,0.89711,0.58159,1.19265,0.87092,0.85734,0.8837,0.57943,1.02029,0.53852,1.37527,0.000650685,0.000650685,0.000650685
51,9489.18,0.91208,0.57896,1.19708,0.86378,0.85872,0.86868,0.58407,0.95277,0.49279,1.29492,0.00063125,0.00063125,0.00063125
52,9652.81,0.89546,0.56817,1.18729,0.86271,0.89225,0.91197,0.57662,1.06236,0.49498,1.3519,0.000611815,0.000611815,0.000611815
53,9813.86,0.88246,0.55283,1.18135,0.82039,0.90448,0.87362,0.57936,0.94717,0.49181,1.28873,0.000592398,0.000592398,0.000592398
54,9974.83,0.87738,0.55637,1.17204,0.87782,0.88548,0.88383,0.58894,0.9777,0.45963,1.29754,0.00057302,0.00057302,0.00057302
55,10135.4,0.86759,0.55062,1.15767,0.88281,0.86247,0.88328,0.5876,0.99051,0.47596,1.31709,0.0005537,0.0005537,0.0005537
56,10297,0.88368,0.55177,1.17629,0.87653,0.89336,0.90711,0.60074,0.96242,0.47176,1.29805,0.000534456,0.000534456,0.000534456
57,10465,0.85009,0.52409,1.15955,0.87456,0.89985,0.88351,0.57691,0.97478,0.48706,1.29728,0.000515308,0.000515308,0.000515308
58,10626.9,0.8823,0.54474,1.16573,0.89358,0.85228,0.87709,0.56841,1.04408,0.51247,1.35634,0.000496274,0.000496274,0.000496274
59,10785.5,0.85504,0.52981,1.15508,0.8962,0.86294,0.89722,0.60823,0.96021,0.49409,1.29076,0.000477373,0.000477373,0.000477373
60,10944.2,0.82255,0.50855,1.14579,0.84985,0.8997,0.90095,0.58914,0.99369,0.47189,1.30777,0.000458624,0.000458624,0.000458624
61,11102.7,0.84651,0.51744,1.14941,0.85154,0.90174,0.88803,0.56722,1.00243,0.49669,1.30455,0.000440046,0.000440046,0.000440046
62,11260.7,0.83399,0.5189,1.1474,0.87072,0.89684,0.9087,0.60284,0.95869,0.48477,1.28633,0.000421656,0.000421656,0.000421656
63,11420,0.82812,0.51499,1.14827,0.87561,0.90298,0.8865,0.58026,0.93913,0.47459,1.27253,0.000403473,0.000403473,0.000403473
64,11584.3,0.83477,0.52081,1.13835,0.85898,0.90007,0.87726,0.57961,1.01335,0.49164,1.32543,0.000385515,0.000385515,0.000385515
65,11751.9,0.81673,0.50389,1.14103,0.87615,0.87078,0.87739,0.58168,0.98133,0.4739,1.29637,0.000367799,0.000367799,0.000367799
66,11921.1,0.82681,0.50572,1.14646,0.85582,0.88012,0.88799,0.59259,0.9528,0.47786,1.27285,0.000350343,0.000350343,0.000350343
67,12092.6,0.81703,0.51181,1.13737,0.85688,0.90092,0.87071,0.5753,0.98943,0.47968,1.31085,0.000333165,0.000333165,0.000333165
68,12274,0.81749,0.50062,1.14573,0.86405,0.87407,0.8905,0.57357,0.99583,0.47038,1.31028,0.000316281,0.000316281,0.000316281
69,12443.2,0.79562,0.48733,1.12635,0.85144,0.88962,0.90159,0.59125,0.97048,0.47461,1.29689,0.000299707,0.000299707,0.000299707
70,12622.2,0.77443,0.48571,1.10718,0.84355,0.90042,0.90474,0.60592,0.9392,0.46165,1.28096,0.000283461,0.000283461,0.000283461
71,12812.1,0.78669,0.4885,1.12732,0.86455,0.88348,0.90341,0.59933,0.90346,0.46332,1.25489,0.000267558,0.000267558,0.000267558
72,13009.2,0.78732,0.48389,1.11468,0.87438,0.88301,0.92465,0.60352,0.9323,0.44929,1.26633,0.000252014,0.000252014,0.000252014
73,13208.1,0.76681,0.46295,1.10585,0.86166,0.88267,0.89759,0.59229,0.92186,0.44728,1.25252,0.000236844,0.000236844,0.000236844
74,13408.1,0.78457,0.48446,1.11034,0.87438,0.87228,0.91743,0.60713,0.90813,0.43795,1.24524,0.000222063,0.000222063,0.000222063
75,13615,0.77353,0.4874,1.11764,0.86185,0.88144,0.9107,0.6046,0.92538,0.44751,1.25967,0.000207686,0.000207686,0.000207686
76,13845.6,0.75318,0.46544,1.09796,0.86366,0.87515,0.89716,0.59215,0.91477,0.45104,1.24888,0.000193728,0.000193728,0.000193728
77,14072.6,0.77207,0.47802,1.10656,0.87844,0.86146,0.89552,0.60029,0.89343,0.44264,1.23782,0.000180201,0.000180201,0.000180201
78,14268.3,0.76901,0.47609,1.10723,0.87912,0.85033,0.87492,0.58448,0.89259,0.44797,1.23972,0.000167119,0.000167119,0.000167119
79,14475.8,0.74559,0.47232,1.10252,0.87781,0.84601,0.86997,0.57998,0.91533,0.44457,1.24707,0.000154495,0.000154495,0.000154495
